structure,gap_class,band_gap,stability,coverage_score,mlip_stability
Cs6FeNi3(Br7Cl2)2,0.8,0.8239196,-0.0133279443217873,0.38,0.0314395567852613
Cs6Ga(FeBr6)3,0.52,0.96829003,-0.0662415247974526,1.0,0.0018972989894338
Cs6Ga(GeBr6)3,0.56,1.1387259,-0.0320229774474714,0.925,-0.0004927213672385
Cs6Ga(NiBr6)3,0.6,0.99277604,-0.0372917865915516,1.0,0.0183591349818696
Cs6Ga3GeBr18,0.6799999999999999,1.5459019,-0.0360872225941459,0.925,7.939684798679719e-05
Cs6Ga3SbBr18,0.8400000000000001,1.8643401,-0.0313814096904867,0.925,-0.0081533887211702
Cs6Ga3SnBr18,0.6399999999999999,1.4547316,-0.0284609490527778,1.0,-0.0001522415881624
Cs6GaCu3(Br7Cl2)2,0.68,0.732134,-0.0050656253140362,0.38,0.0309591804773791
Cs6GaFe3(Br7Cl2)2,0.72,0.956432,-0.0374906799456757,0.26,0.0186151578274168
Cs6In(CuBr6)3,0.5199999999999999,0.90973186,-0.037988284758792,0.925,0.0112128998140659
Cs6In(GaBr6)3,0.72,1.6660534,-0.0413433382262942,1.0,-0.0037235739047557
Cs6In(NiBr6)3,0.64,0.9290861,-0.0376508191245683,1.0,0.006423028119896
Cs6In3Cu(Br7Cl2)2,0.76,1.3838742,-0.0466972852742788,0.365,0.0104027037646364
Cs6In3CuBr18,0.6399999999999999,1.4469082,-0.0646237879651905,0.925,0.0018055689788386
Cs6In3Ga(Br7Cl2)2,0.76,1.8727764,-0.0135313610135205,0.32,0.0042826164928546
Cs6In3Ga(Br8Cl)2,0.76,1.789044,-0.03201352733355,0.32,0.0042512506149144
Cs6In3Ga(I2Br7)2,0.92,1.5149152,-0.0150294311795629,0.32,0.0062382018952713
Cs6In3GaBr18,0.7600000000000001,1.821977,-0.0471278755762829,1.0,-0.0026693595722992
Cs6In3GaI18,0.92,1.1124012,0.0117315832885234,1.0,0.0068413445439718
Cs6In3NiBr18,0.6799999999999999,1.2311344,-0.0434059418416266,1.0,-0.0043383972507721
Cs6In3PbBr18,0.8,1.8124841,-0.0459892655214968,1.0,0.006247940903757
Cs6In3Sb(Br8Cl)2,0.8800000000000001,1.9362665,-0.031707203546738,0.38,-0.000603081817287
Cs6In3Sb(I2Br7)2,0.92,1.602349,-0.0060562316173957,0.26,0.0053155474127138
Cs6In3Sn(Br7Cl2)2,0.8,1.661329,-0.0218651720358111,0.44,0.0058411074682062
Cs6In3Sn(Br8Cl)2,0.8,1.6400051,-0.0306826474500447,0.44,0.0050495296394866
Cs6In3Sn(I2Br7)2,0.92,1.5229511,-0.0050376700449772,0.38,0.0069875302493359
Cs6In3SnBr18,0.8400000000000001,1.6377838,-0.0347565468144743,1.0,-0.0022079356970705
Cs6In3SnI18,0.8800000000000001,1.1851273,0.0143395123366372,0.4,0.0102877986569781
Cs6InCu3(Br7Cl2)2,0.64,0.9676919,-0.0102457519366971,0.365,0.0337702130511418
Cs6InFe3(Br7Cl2)2,0.6000000000000001,1.01783,-0.0442483744588371,0.32,0.0152714948499699
Cs6Mn(CuBr6)3,0.5199999999999999,0.8613499,-0.0165466905669575,0.925,0.0081261928771345
Cs6Mn(GaBr6)3,0.5200000000000001,1.2250684,-0.0364932296881621,1.0,0.0042400980656655
Cs6Mn3Ag(Br8Cl)2,0.5199999999999999,1.0832785,-0.0075601162764531,0.425,0.0123617774130229
Cs6Mn3Co(Br2Cl)6,0.8,1.0285898,-0.0075669202750383,0.365,0.0116571901713463
Cs6Mn3Co(Br7Cl2)2,0.72,1.0809476,-0.0132830196186093,0.365,0.0159478542547321
Cs6Mn3Co(I2Br7)2,0.76,0.9667128,-0.0003185560661485,0.29,0.0132502267375207
Cs6Mn3Co(IBr2)6,0.8400000000000001,1.0440995,0.0084960510776241,0.29,0.0132179566413525
Cs6Mn3CoBr18,0.5599999999999999,1.0003661,-0.0201326652660056,0.925,0.0108278664981912
Cs6Mn3Cr(Br2Cl)6,0.8400000000000001,1.046245,-0.008973125052321,0.425,0.0059282928955105
Cs6Mn3Cr(I2Br7)2,0.8,1.1868169,-0.0071863976777191,0.425,0.0048876360231394
Cs6Mn3Cu(Br7Cl2)2,0.6799999999999999,0.97795594,-0.0189903022239295,0.425,0.0089392257992847
Cs6Mn3CuBr18,0.64,0.93793505,-0.0280112650191917,0.925,0.0005309590163103
Cs6Mn3Fe(Br2Cl)6,0.8800000000000001,1.0811813,-0.0153819673753556,0.365,0.0126716741422707
Cs6Mn3Fe(Br5Cl4)2,0.8800000000000001,1.0561626,-0.0112560274301325,0.365,0.01019188583483
Cs6Mn3Fe(Br7Cl2)2,0.76,1.0669158,-0.0214021941584181,0.365,0.0122377127993018
Cs6Mn3Fe(I2Br7)2,0.8,1.0539,-0.0198081653023867,0.29,0.0127653747973798
Cs6Mn3Fe(I4Br5)2,0.92,1.1598425,-0.0162535454730572,0.29,0.0209316955410257
Cs6Mn3Fe(IBr2)6,0.8800000000000001,1.1127365,-0.0149058655913809,0.29,0.0129285647758042
Cs6Mn3GaBr18,0.5599999999999999,1.2307171,-0.030536195210628,1.0,0.0078344305477716
Cs6Mn3Ge(Br7Cl2)2,0.72,1.1753193,-0.0140188888225942,0.3349999999999999,0.0185381026315639
Cs6Mn3Ge(I7Br2)2,0.8800000000000001,1.315173,-0.020580612842042,0.29,0.0253917827480894
Cs6Mn3GeBr18,0.52,1.1150806,-0.0197870978919605,0.325,0.0093091352321748
Cs6Mn3In(I2Br7)2,0.8,1.3770134,-0.0094866063437977,0.38,0.0138266695215108
Cs6Mn3In(I4Br5)2,0.8400000000000001,1.3401026,0.0025630260652327,0.38,0.0197831173019393
Cs6Mn3InBr18,0.56,1.2973843,-0.0333967287420193,1.0,0.0031289995710284
Cs6Mn3Ni(Br2Cl)6,0.8400000000000001,1.1057851,-0.0117979336323013,0.41,0.0113317524884059
Cs6Mn3Ni(I2Br7)2,0.76,1.0911903,-0.0111831247182325,0.41,0.0166322146883001
Cs6Mn3Ni(I4Br5)2,0.8800000000000001,1.1614509,-0.0084362788304317,0.41,0.0254145958001981
Cs6Mn3Ni(IBr2)6,0.8,1.0592766,-0.0027031875273746,0.41,0.0152609569580494
Cs6Mn3NiBr18,0.5200000000000001,1.112851,-0.0211200251317764,0.925,0.0142134092258615
Cs6Mn3PbBr18,0.72,1.1089178,-0.0272588328981775,0.325,0.0108149074940995
Cs6Mn3V(Br2Cl)6,0.76,1.1391484,-0.0125973227288,0.41,0.0017555581057058
Cs6Mn3V(I2Br7)2,0.68,1.101161,-0.0082040763628419,0.425,0.010253849143267
Cs6Mn3V(I4Br5)2,0.8400000000000001,1.0983572,-0.0075148025203513,0.425,0.0246394404450507
Cs6Mn3ZnBr18,0.5199999999999999,1.162894,-0.0227571362372644,0.325,0.0139256859745956
Cs6MnFe3(Br2Cl)6,0.92,0.89068574,-0.0233016555913485,0.365,0.0118166080759355
